Volatility 3 Framework 2.28.1

Offset	Record Type	Record Number	Link Count	MFT Type	Permissions	Attribute Type	Created	Modified	Updated	Accessed	Filename
0x14bc50	FILE	23639	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:10:08.000000 UTC	2012-05-14 19:19:19.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:10:08.000000 UTC	N/A
* 0x14bcb0	FILE	23639	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	Package_for_KB2712808_SP1~31bf3856ad364e35~amd64~~6.1.1.0.cat
* 0x14bd88	FILE	23639	2	File	Archive	FILE_NAME	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	2017-01-29 02:58:47.000000 UTC	PA7B5C~1.CAT
0x16f050	FILE	30112	2	File	N/A	STANDARD_INFORMATION	2009-07-14 00:35:52.000000 UTC	2009-07-14 01:40:56.000000 UTC	2017-01-29 03:00:37.000000 UTC	2009-07-14 00:35:52.000000 UTC	N/A
* 0x16f0b0	FILE	30112	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSROUTE.dll
* 0x16f128	FILE	30112	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSROUTE.dll
0x16f450	FILE	30113	2	File	N/A	STANDARD_INFORMATION	2009-07-14 00:35:56.000000 UTC	2009-07-14 01:40:56.000000 UTC	2017-01-29 03:00:37.000000 UTC	2009-07-14 00:35:56.000000 UTC	N/A
* 0x16f4b0	FILE	30113	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSST.dll
* 0x16f520	FILE	30113	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSST.dll
0x16f850	FILE	30114	2	File	N/A	STANDARD_INFORMATION	2009-07-14 00:36:06.000000 UTC	2009-07-14 01:40:56.000000 UTC	2017-01-29 03:00:37.000000 UTC	2009-07-14 00:36:06.000000 UTC	N/A
* 0x16f8b0	FILE	30114	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXST30.dll
* 0x16f920	FILE	30114	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXST30.dll
0x16fc50	FILE	30115	2	File	N/A	STANDARD_INFORMATION	2010-11-21 03:23:48.000000 UTC	2010-11-21 03:23:48.000000 UTC	2017-01-29 03:00:37.000000 UTC	2010-11-21 03:23:48.000000 UTC	N/A
* 0x16fcb0	FILE	30115	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSTIFF.DLL
* 0x16fd20	FILE	30115	2	File	Archive	FILE_NAME	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	2017-01-29 02:59:57.000000 UTC	FXSTIFF.DLL
0x17d050	FILE	26216	2	File	N/A	STANDARD_INFORMATION	2009-07-14 00:34:25.000000 UTC	2009-07-14 01:38:52.000000 UTC	2017-01-29 02:59:04.000000 UTC	2009-07-14 00:34:25.000000 UTC	N/A
* 0x17d0b0	FILE	26216	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sapi.cpl
* 0x17d120	FILE	26216	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sapi.cpl
0x17d450	FILE	26217	2	File	N/A	STANDARD_INFORMATION	2010-11-21 03:24:26.000000 UTC	2010-11-21 03:24:27.000000 UTC	2017-01-29 02:59:04.000000 UTC	2010-11-21 03:24:26.000000 UTC	N/A
* 0x17d4b0	FILE	26217	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sysdm.cpl
* 0x17d520	FILE	26217	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sysdm.cpl
0x17d850	FILE	26218	2	File	N/A	STANDARD_INFORMATION	2010-11-21 03:24:09.000000 UTC	2010-11-21 03:24:09.000000 UTC	2017-01-29 02:59:04.000000 UTC	2010-11-21 03:24:09.000000 UTC	N/A
* 0x17d8b0	FILE	26218	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sysdm.cpl
* 0x17d920	FILE	26218	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	sysdm.cpl
0x17dc50	FILE	26219	2	File	N/A	STANDARD_INFORMATION	2010-11-21 03:24:33.000000 UTC	2010-11-21 03:24:34.000000 UTC	2017-01-29 02:59:04.000000 UTC	2010-11-21 03:24:33.000000 UTC	N/A
* 0x17dcb0	FILE	26219	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	TabletPC.cpl
* 0x17dd28	FILE	26219	2	File	Archive	FILE_NAME	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	2017-01-29 02:58:55.000000 UTC	TabletPC.cpl
0x1b5050	FILE	22944	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:15.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1b50b0	FILE	22944	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~et-EE~7.1.7601.16492.cat
* 0x1b51e8	FILE	22944	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI01D6~1.CAT
0x1b5450	FILE	22945	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:14.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1b54b0	FILE	22945	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~fi-FI~7.1.7601.16492.cat
* 0x1b55e8	FILE	22945	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MIC6A5~1.CAT
0x1b5850	FILE	22946	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:14.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1b58b0	FILE	22946	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~fi-FI~7.1.7601.16492.cat
* 0x1b59e8	FILE	22946	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MIC6A5~1.CAT
0x1b5c50	FILE	22947	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:31.000000 UTC	2013-02-01 18:37:05.000000 UTC	2017-01-29 02:58:50.000000 UTC	2015-04-24 20:06:31.000000 UTC	N/A
* 0x1b5cb0	FILE	22947	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-MiniLP~31bf3856ad364e35~amd64~fr-FR~7.1.7601.16492.cat
* 0x1b5de8	FILE	22947	2	File	Archive	FILE_NAME	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	2017-01-29 02:58:46.000000 UTC	MI7FE6~1.CAT
0x1c5050	FILE	21404	2	File	N/A	STANDARD_INFORMATION	2015-04-24 20:06:28.000000 UTC	2015-04-24 20:06:28.000000 UTC	2017-01-29 02:58:47.000000 UTC	2015-04-24 20:06:28.000000 UTC	N/A
* 0x1c50b0	FILE	21404	2	File	Archive	FILE_NAME	2017-01-29 02:58:33.000000 UTC	2017-01-29 02:58:33.000000 UTC	2017-01-29 02:58:33.000000 UTC	2017-01-29 02:58:33.000000 UTC	9CD886~1.CAT
