Volatility 3 Framework 2.28.0

PID	Process	Block	Variable	Value
468	csrss.exe	0x430cc0	SystemRoot	C:\Windows
468	csrss.exe	0x430cc0	TEMP	C:\Windows\TEMP
468	csrss.exe	0x430cc0	TMP	C:\Windows\TEMP
468	csrss.exe	0x430cc0	USERNAME	SYSTEM
468	csrss.exe	0x430cc0	windir	C:\Windows
560	services.exe	0x120ea8	ALLUSERSPROFILE	C:\ProgramData
560	services.exe	0x120ea8	CommonProgramFiles	C:\Program Files\Common Files
560	services.exe	0x120ea8	COMPUTERNAME	WIN-ETSA91RKCFP
560	services.exe	0x120ea8	ComSpec	C:\Windows\system32\cmd.exe
560	services.exe	0x120ea8	FP_NO_HOST_CHECK	NO
560	services.exe	0x120ea8	NUMBER_OF_PROCESSORS	1
560	services.exe	0x120ea8	OS	Windows_NT
560	services.exe	0x120ea8	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
560	services.exe	0x120ea8	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
560	services.exe	0x120ea8	PROCESSOR_ARCHITECTURE	x86
560	services.exe	0x120ea8	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
560	services.exe	0x120ea8	PROCESSOR_LEVEL	6
560	services.exe	0x120ea8	PROCESSOR_REVISION	1706
560	services.exe	0x120ea8	ProgramData	C:\ProgramData
560	services.exe	0x120ea8	ProgramFiles	C:\Program Files
560	services.exe	0x120ea8	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
560	services.exe	0x120ea8	PUBLIC	C:\Users\Public
560	services.exe	0x120ea8	SystemDrive	C:
560	services.exe	0x120ea8	SystemRoot	C:\Windows
560	services.exe	0x120ea8	TEMP	C:\Windows\TEMP
560	services.exe	0x120ea8	TMP	C:\Windows\TEMP
560	services.exe	0x120ea8	USERNAME	SYSTEM
560	services.exe	0x120ea8	USERPROFILE	C:\Windows\system32\config\systemprofile
560	services.exe	0x120ea8	windir	C:\Windows
576	lsass.exe	0x250ea8	ALLUSERSPROFILE	C:\ProgramData
576	lsass.exe	0x250ea8	CommonProgramFiles	C:\Program Files\Common Files
576	lsass.exe	0x250ea8	COMPUTERNAME	WIN-ETSA91RKCFP
576	lsass.exe	0x250ea8	ComSpec	C:\Windows\system32\cmd.exe
576	lsass.exe	0x250ea8	FP_NO_HOST_CHECK	NO
576	lsass.exe	0x250ea8	NUMBER_OF_PROCESSORS	1
576	lsass.exe	0x250ea8	OS	Windows_NT
576	lsass.exe	0x250ea8	Path	C:\Windows\System32
576	lsass.exe	0x250ea8	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
576	lsass.exe	0x250ea8	PROCESSOR_ARCHITECTURE	x86
576	lsass.exe	0x250ea8	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
576	lsass.exe	0x250ea8	PROCESSOR_LEVEL	6
576	lsass.exe	0x250ea8	PROCESSOR_REVISION	1706
576	lsass.exe	0x250ea8	ProgramData	C:\ProgramData
576	lsass.exe	0x250ea8	ProgramFiles	C:\Program Files
576	lsass.exe	0x250ea8	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
576	lsass.exe	0x250ea8	PUBLIC	C:\Users\Public
576	lsass.exe	0x250ea8	SystemDrive	C:
576	lsass.exe	0x250ea8	SystemRoot	C:\Windows
576	lsass.exe	0x250ea8	TEMP	C:\Windows\TEMP
576	lsass.exe	0x250ea8	TMP	C:\Windows\TEMP
576	lsass.exe	0x250ea8	USERNAME	SYSTEM
576	lsass.exe	0x250ea8	USERPROFILE	C:\Windows\system32\config\systemprofile
576	lsass.exe	0x250ea8	windir	C:\Windows
576	lsass.exe	0x250ea8	USERPROFILE	C:\Windows\system32\config\systemprofile
576	lsass.exe	0x250ea8	windir	C:\Windows
584	lsm.exe	0x190ea8	ALLUSERSPROFILE	C:\ProgramData
584	lsm.exe	0x190ea8	CommonProgramFiles	C:\Program Files\Common Files
584	lsm.exe	0x190ea8	COMPUTERNAME	WIN-ETSA91RKCFP
584	lsm.exe	0x190ea8	ComSpec	C:\Windows\system32\cmd.exe
584	lsm.exe	0x190ea8	FP_NO_HOST_CHECK	NO
584	lsm.exe	0x190ea8	NUMBER_OF_PROCESSORS	1
584	lsm.exe	0x190ea8	OS	Windows_NT
584	lsm.exe	0x190ea8	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
584	lsm.exe	0x190ea8	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
584	lsm.exe	0x190ea8	PROCESSOR_ARCHITECTURE	x86
584	lsm.exe	0x190ea8	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
584	lsm.exe	0x190ea8	PROCESSOR_LEVEL	6
584	lsm.exe	0x190ea8	PROCESSOR_REVISION	1706
584	lsm.exe	0x190ea8	ProgramData	C:\ProgramData
584	lsm.exe	0x190ea8	ProgramFiles	C:\Program Files
584	lsm.exe	0x190ea8	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
584	lsm.exe	0x190ea8	PUBLIC	C:\Users\Public
584	lsm.exe	0x190ea8	SystemDrive	C:
584	lsm.exe	0x190ea8	SystemRoot	C:\Windows
584	lsm.exe	0x190ea8	TEMP	C:\Windows\TEMP
584	lsm.exe	0x190ea8	TMP	C:\Windows\TEMP
584	lsm.exe	0x190ea8	USERNAME	SYSTEM
584	lsm.exe	0x190ea8	USERPROFILE	C:\Windows\system32\config\systemprofile
584	lsm.exe	0x190ea8	windir	C:\Windows
692	svchost.exe	0x2c0ff0	ALLUSERSPROFILE	C:\ProgramData
692	svchost.exe	0x2c0ff0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
692	svchost.exe	0x2c0ff0	CommonProgramFiles	C:\Program Files\Common Files
692	svchost.exe	0x2c0ff0	COMPUTERNAME	WIN-ETSA91RKCFP
692	svchost.exe	0x2c0ff0	ComSpec	C:\Windows\system32\cmd.exe
692	svchost.exe	0x2c0ff0	FP_NO_HOST_CHECK	NO
692	svchost.exe	0x2c0ff0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
692	svchost.exe	0x2c0ff0	NUMBER_OF_PROCESSORS	1
692	svchost.exe	0x2c0ff0	OS	Windows_NT
692	svchost.exe	0x2c0ff0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
692	svchost.exe	0x2c0ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
692	svchost.exe	0x2c0ff0	PROCESSOR_ARCHITECTURE	x86
692	svchost.exe	0x2c0ff0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
692	svchost.exe	0x2c0ff0	PROCESSOR_LEVEL	6
692	svchost.exe	0x2c0ff0	PROCESSOR_REVISION	1706
692	svchost.exe	0x2c0ff0	ProgramData	C:\ProgramData
692	svchost.exe	0x2c0ff0	ProgramFiles	C:\Program Files
692	svchost.exe	0x2c0ff0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
692	svchost.exe	0x2c0ff0	PUBLIC	C:\Users\Public
692	svchost.exe	0x2c0ff0	SystemDrive	C:
692	svchost.exe	0x2c0ff0	SystemRoot	C:\Windows
692	svchost.exe	0x2c0ff0	TEMP	C:\Windows\TEMP
692	svchost.exe	0x2c0ff0	TMP	C:\Windows\TEMP
692	svchost.exe	0x2c0ff0	USERDOMAIN	WORKGROUP
692	svchost.exe	0x2c0ff0	USERNAME	WIN-ETSA91RKCFP$
692	svchost.exe	0x2c0ff0	USERPROFILE	C:\Windows\system32\config\systemprofile
692	svchost.exe	0x2c0ff0	windir	C:\Windows
764	svchost.exe	0x2b1070	ALLUSERSPROFILE	C:\ProgramData
764	svchost.exe	0x2b1070	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
764	svchost.exe	0x2b1070	CommonProgramFiles	C:\Program Files\Common Files
764	svchost.exe	0x2b1070	COMPUTERNAME	WIN-ETSA91RKCFP
764	svchost.exe	0x2b1070	ComSpec	C:\Windows\system32\cmd.exe
764	svchost.exe	0x2b1070	FP_NO_HOST_CHECK	NO
764	svchost.exe	0x2b1070	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
764	svchost.exe	0x2b1070	NUMBER_OF_PROCESSORS	1
764	svchost.exe	0x2b1070	OS	Windows_NT
764	svchost.exe	0x2b1070	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
764	svchost.exe	0x2b1070	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
764	svchost.exe	0x2b1070	PROCESSOR_ARCHITECTURE	x86
764	svchost.exe	0x2b1070	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
764	svchost.exe	0x2b1070	PROCESSOR_LEVEL	6
764	svchost.exe	0x2b1070	PROCESSOR_REVISION	1706
764	svchost.exe	0x2b1070	ProgramData	C:\ProgramData
764	svchost.exe	0x2b1070	ProgramFiles	C:\Program Files
764	svchost.exe	0x2b1070	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
764	svchost.exe	0x2b1070	PUBLIC	C:\Users\Public
764	svchost.exe	0x2b1070	SystemDrive	C:
764	svchost.exe	0x2b1070	SystemRoot	C:\Windows
764	svchost.exe	0x2b1070	TEMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
764	svchost.exe	0x2b1070	TMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
764	svchost.exe	0x2b1070	USERDOMAIN	WORKGROUP
764	svchost.exe	0x2b1070	USERNAME	WIN-ETSA91RKCFP$
764	svchost.exe	0x2b1070	USERPROFILE	C:\Windows\ServiceProfiles\NetworkService
764	svchost.exe	0x2b1070	windir	C:\Windows
832	svchost.exe	0x301068	ALLUSERSPROFILE	C:\ProgramData
832	svchost.exe	0x301068	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
832	svchost.exe	0x301068	CommonProgramFiles	C:\Program Files\Common Files
832	svchost.exe	0x301068	COMPUTERNAME	WIN-ETSA91RKCFP
832	svchost.exe	0x301068	ComSpec	C:\Windows\system32\cmd.exe
832	svchost.exe	0x301068	FP_NO_HOST_CHECK	NO
832	svchost.exe	0x301068	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
832	svchost.exe	0x301068	NUMBER_OF_PROCESSORS	1
832	svchost.exe	0x301068	OS	Windows_NT
832	svchost.exe	0x301068	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
832	svchost.exe	0x301068	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
832	svchost.exe	0x301068	PROCESSOR_ARCHITECTURE	x86
832	svchost.exe	0x301068	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
832	svchost.exe	0x301068	PROCESSOR_LEVEL	6
832	svchost.exe	0x301068	PROCESSOR_REVISION	1706
832	svchost.exe	0x301068	ProgramData	C:\ProgramData
832	svchost.exe	0x301068	ProgramFiles	C:\Program Files
832	svchost.exe	0x301068	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
832	svchost.exe	0x301068	PUBLIC	C:\Users\Public
832	svchost.exe	0x301068	SystemDrive	C:
832	svchost.exe	0x301068	SystemRoot	C:\Windows
832	svchost.exe	0x301068	TEMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
832	svchost.exe	0x301068	TMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
832	svchost.exe	0x301068	USERDOMAIN	NT AUTHORITY
832	svchost.exe	0x301068	USERNAME	LOCAL SERVICE
832	svchost.exe	0x301068	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
832	svchost.exe	0x301068	windir	C:\Windows
904	svchost.exe	0x140ff0	ALLUSERSPROFILE	C:\ProgramData
904	svchost.exe	0x140ff0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
904	svchost.exe	0x140ff0	CommonProgramFiles	C:\Program Files\Common Files
904	svchost.exe	0x140ff0	COMPUTERNAME	WIN-ETSA91RKCFP
904	svchost.exe	0x140ff0	ComSpec	C:\Windows\system32\cmd.exe
904	svchost.exe	0x140ff0	FP_NO_HOST_CHECK	NO
904	svchost.exe	0x140ff0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
904	svchost.exe	0x140ff0	NUMBER_OF_PROCESSORS	1
904	svchost.exe	0x140ff0	OS	Windows_NT
904	svchost.exe	0x140ff0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
904	svchost.exe	0x140ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
904	svchost.exe	0x140ff0	PROCESSOR_ARCHITECTURE	x86
904	svchost.exe	0x140ff0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
904	svchost.exe	0x140ff0	PROCESSOR_LEVEL	6
904	svchost.exe	0x140ff0	PROCESSOR_REVISION	1706
904	svchost.exe	0x140ff0	ProgramData	C:\ProgramData
904	svchost.exe	0x140ff0	ProgramFiles	C:\Program Files
904	svchost.exe	0x140ff0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
904	svchost.exe	0x140ff0	PUBLIC	C:\Users\Public
904	svchost.exe	0x140ff0	SystemDrive	C:
904	svchost.exe	0x140ff0	SystemRoot	C:\Windows
904	svchost.exe	0x140ff0	TEMP	C:\Windows\TEMP
904	svchost.exe	0x140ff0	TMP	C:\Windows\TEMP
904	svchost.exe	0x140ff0	USERDOMAIN	WORKGROUP
904	svchost.exe	0x140ff0	USERNAME	WIN-ETSA91RKCFP$
904	svchost.exe	0x140ff0	USERPROFILE	C:\Windows\system32\config\systemprofile
904	svchost.exe	0x140ff0	windir	C:\Windows
928	svchost.exe	0x5c0ff0	ALLUSERSPROFILE	C:\ProgramData
928	svchost.exe	0x5c0ff0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
928	svchost.exe	0x5c0ff0	CommonProgramFiles	C:\Program Files\Common Files
928	svchost.exe	0x5c0ff0	COMPUTERNAME	WIN-ETSA91RKCFP
928	svchost.exe	0x5c0ff0	ComSpec	C:\Windows\system32\cmd.exe
928	svchost.exe	0x5c0ff0	FP_NO_HOST_CHECK	NO
928	svchost.exe	0x5c0ff0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
928	svchost.exe	0x5c0ff0	NUMBER_OF_PROCESSORS	1
928	svchost.exe	0x5c0ff0	OS	Windows_NT
928	svchost.exe	0x5c0ff0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
928	svchost.exe	0x5c0ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
928	svchost.exe	0x5c0ff0	PROCESSOR_ARCHITECTURE	x86
928	svchost.exe	0x5c0ff0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
928	svchost.exe	0x5c0ff0	PROCESSOR_LEVEL	6
928	svchost.exe	0x5c0ff0	PROCESSOR_REVISION	1706
928	svchost.exe	0x5c0ff0	ProgramData	C:\ProgramData
928	svchost.exe	0x5c0ff0	ProgramFiles	C:\Program Files
928	svchost.exe	0x5c0ff0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
928	svchost.exe	0x5c0ff0	PUBLIC	C:\Users\Public
928	svchost.exe	0x5c0ff0	SystemDrive	C:
928	svchost.exe	0x5c0ff0	SystemRoot	C:\Windows
928	svchost.exe	0x5c0ff0	TEMP	C:\Windows\TEMP
928	svchost.exe	0x5c0ff0	TMP	C:\Windows\TEMP
928	svchost.exe	0x5c0ff0	USERDOMAIN	WORKGROUP
928	svchost.exe	0x5c0ff0	USERNAME	WIN-ETSA91RKCFP$
928	svchost.exe	0x5c0ff0	USERPROFILE	C:\Windows\system32\config\systemprofile
928	svchost.exe	0x5c0ff0	windir	C:\Windows
1084	svchost.exe	0x131068	ALLUSERSPROFILE	C:\ProgramData
1084	svchost.exe	0x131068	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
1084	svchost.exe	0x131068	CommonProgramFiles	C:\Program Files\Common Files
1084	svchost.exe	0x131068	COMPUTERNAME	WIN-ETSA91RKCFP
1084	svchost.exe	0x131068	ComSpec	C:\Windows\system32\cmd.exe
1084	svchost.exe	0x131068	FP_NO_HOST_CHECK	NO
1084	svchost.exe	0x131068	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
1084	svchost.exe	0x131068	NUMBER_OF_PROCESSORS	1
1084	svchost.exe	0x131068	OS	Windows_NT
1084	svchost.exe	0x131068	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1084	svchost.exe	0x131068	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1084	svchost.exe	0x131068	PROCESSOR_ARCHITECTURE	x86
1084	svchost.exe	0x131068	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
1084	svchost.exe	0x131068	PROCESSOR_LEVEL	6
1084	svchost.exe	0x131068	PROCESSOR_REVISION	1706
1084	svchost.exe	0x131068	ProgramData	C:\ProgramData
1084	svchost.exe	0x131068	ProgramFiles	C:\Program Files
1084	svchost.exe	0x131068	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
1084	svchost.exe	0x131068	PUBLIC	C:\Users\Public
1084	svchost.exe	0x131068	SystemDrive	C:
1084	svchost.exe	0x131068	SystemRoot	C:\Windows
1084	svchost.exe	0x131068	TEMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
1084	svchost.exe	0x131068	TMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
1084	svchost.exe	0x131068	USERDOMAIN	NT AUTHORITY
1084	svchost.exe	0x131068	USERNAME	LOCAL SERVICE
1084	svchost.exe	0x131068	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
1084	svchost.exe	0x131068	windir	C:\Windows
1172	svchost.exe	0xb1070	ALLUSERSPROFILE	C:\ProgramData
1172	svchost.exe	0xb1070	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
1172	svchost.exe	0xb1070	CommonProgramFiles	C:\Program Files\Common Files
1172	svchost.exe	0xb1070	COMPUTERNAME	WIN-ETSA91RKCFP
1172	svchost.exe	0xb1070	ComSpec	C:\Windows\system32\cmd.exe
1172	svchost.exe	0xb1070	FP_NO_HOST_CHECK	NO
1172	svchost.exe	0xb1070	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
1172	svchost.exe	0xb1070	NUMBER_OF_PROCESSORS	1
1172	svchost.exe	0xb1070	OS	Windows_NT
1172	svchost.exe	0xb1070	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1172	svchost.exe	0xb1070	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1172	svchost.exe	0xb1070	PROCESSOR_ARCHITECTURE	x86
1172	svchost.exe	0xb1070	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
1172	svchost.exe	0xb1070	PROCESSOR_LEVEL	6
1172	svchost.exe	0xb1070	PROCESSOR_REVISION	1706
1172	svchost.exe	0xb1070	ProgramData	C:\ProgramData
1172	svchost.exe	0xb1070	ProgramFiles	C:\Program Files
1172	svchost.exe	0xb1070	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
1172	svchost.exe	0xb1070	PUBLIC	C:\Users\Public
1172	svchost.exe	0xb1070	SystemDrive	C:
1172	svchost.exe	0xb1070	SystemRoot	C:\Windows
1172	svchost.exe	0xb1070	TEMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
1172	svchost.exe	0xb1070	TMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
1172	svchost.exe	0xb1070	USERDOMAIN	WORKGROUP
1172	svchost.exe	0xb1070	USERNAME	WIN-ETSA91RKCFP$
1172	svchost.exe	0xb1070	USERPROFILE	C:\Windows\ServiceProfiles\NetworkService
1172	svchost.exe	0xb1070	windir	C:\Windows
1220	AvastSvc.exe	0x520ff0	ALLUSERSPROFILE	C:\ProgramData
1220	AvastSvc.exe	0x520ff0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
1220	AvastSvc.exe	0x520ff0	CommonProgramFiles	C:\Program Files\Common Files
1220	AvastSvc.exe	0x520ff0	COMPUTERNAME	WIN-ETSA91RKCFP
1220	AvastSvc.exe	0x520ff0	ComSpec	C:\Windows\system32\cmd.exe
1220	AvastSvc.exe	0x520ff0	FP_NO_HOST_CHECK	NO
1220	AvastSvc.exe	0x520ff0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
1220	AvastSvc.exe	0x520ff0	NUMBER_OF_PROCESSORS	1
1220	AvastSvc.exe	0x520ff0	OS	Windows_NT
1220	AvastSvc.exe	0x520ff0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1220	AvastSvc.exe	0x520ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1220	AvastSvc.exe	0x520ff0	PROCESSOR_ARCHITECTURE	x86
1220	AvastSvc.exe	0x520ff0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
1220	AvastSvc.exe	0x520ff0	PROCESSOR_LEVEL	6
1220	AvastSvc.exe	0x520ff0	PROCESSOR_REVISION	1706
1220	AvastSvc.exe	0x520ff0	ProgramData	C:\ProgramData
1220	AvastSvc.exe	0x520ff0	ProgramFiles	C:\Program Files
1220	AvastSvc.exe	0x520ff0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
1220	AvastSvc.exe	0x520ff0	PUBLIC	C:\Users\Public
1220	AvastSvc.exe	0x520ff0	SystemDrive	C:
1220	AvastSvc.exe	0x520ff0	SystemRoot	C:\Windows
1220	AvastSvc.exe	0x520ff0	TEMP	C:\Windows\TEMP
1220	AvastSvc.exe	0x520ff0	TMP	C:\Windows\TEMP
1220	AvastSvc.exe	0x520ff0	USERDOMAIN	WORKGROUP
1220	AvastSvc.exe	0x520ff0	USERNAME	WIN-ETSA91RKCFP$
1220	AvastSvc.exe	0x520ff0	USERPROFILE	C:\Windows\system32\config\systemprofile
1220	AvastSvc.exe	0x520ff0	windir	C:\Windows
1712	spoolsv.exe	0x670ff0	ALLUSERSPROFILE	C:\ProgramData
1712	spoolsv.exe	0x670ff0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
1712	spoolsv.exe	0x670ff0	CommonProgramFiles	C:\Program Files\Common Files
1712	spoolsv.exe	0x670ff0	COMPUTERNAME	WIN-ETSA91RKCFP
1712	spoolsv.exe	0x670ff0	ComSpec	C:\Windows\system32\cmd.exe
1712	spoolsv.exe	0x670ff0	FP_NO_HOST_CHECK	NO
1712	spoolsv.exe	0x670ff0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
1712	spoolsv.exe	0x670ff0	NUMBER_OF_PROCESSORS	1
1712	spoolsv.exe	0x670ff0	OS	Windows_NT
1712	spoolsv.exe	0x670ff0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1712	spoolsv.exe	0x670ff0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1712	spoolsv.exe	0x670ff0	PROCESSOR_ARCHITECTURE	x86
1712	spoolsv.exe	0x670ff0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 23 Stepping 6, GenuineIntel
1712	spoolsv.exe	0x670ff0	PROCESSOR_LEVEL	6
1712	spoolsv.exe	0x670ff0	PROCESSOR_REVISION	1706
