Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
2600	468	conhost.exe	0x1fc9c288	1	35	1	False	2013-01-12 16:40:28.000000 UTC	N/A	Disabled
2676	2548	VMwareUser.exe	0x1fca9220	8	190	1	False	2013-01-12 16:40:30.000000 UTC	N/A	Disabled
2352	560	taskhost.exe	0x1fcc0620	8	149	1	False	2013-01-12 16:40:24.000000 UTC	N/A	Disabled
2548	2484	explorer.exe	0x1fcc6030	24	766	1	False	2013-01-12 16:40:27.000000 UTC	N/A	Disabled
2496	904	dwm.exe	0x1fcd44d0	5	77	1	False	2013-01-12 16:40:25.000000 UTC	N/A	Disabled
2568	1612	TPAutoConnect.	0x1fce2880	5	146	1	False	2013-01-12 16:40:28.000000 UTC	N/A	Disabled
2772	2548	iexplore.exe	0x1fd6b030	2	74	1	False	2013-01-12 16:40:34.000000 UTC	N/A	Disabled
2720	2548	AvastUI.exe	0x1fd784b0	14	220	1	False	2013-01-12 16:40:31.000000 UTC	N/A	Disabled
2660	2548	VMwareTray.exe	0x1fd82438	5	80	1	False	2013-01-12 16:40:29.000000 UTC	N/A	Disabled
3564	3512	soffice.bin	0x1fd8ca58	12	400	1	False	2013-01-12 16:41:05.000000 UTC	N/A	Disabled
3512	3452	soffice.exe	0x1fda4030	1	28	1	False	2013-01-12 16:41:03.000000 UTC	N/A	Disabled
3176	560	wmpnetwk.exe	0x1fdd35b8	9	240	0	False	2013-01-12 16:40:48.000000 UTC	N/A	Disabled
3152	2548	cmd.exe	0x1fdf7030	1	23	1	False	2013-01-12 16:44:50.000000 UTC	N/A	Disabled
4	0	System	0x1ffb8b78	103	3257	N/A	False	2013-01-12 16:38:09.000000 UTC	N/A	Disabled
